departamento revisao
revisao redacao
notas poderao
ordinaria legislatura
poderao solicitadas
solicitadas departamento
prestou devidas
devidas compor
reiterou prestadas
anterior destinouse
exercicio interno
prestadas h
interno anterior
matutina ordinaria
interno assumiu
divulgado meios
desligamento automatico
exibicao video
video institucional
constituicao n
divulgacao meios
chamar atencao
institucional proferiu
pronunciamentos encaminhados
dado lido
solicito divulgado
deixar claro
marco h
tendo vista
deixar registrado
ampla divulgacao
h exercicio
reiterou h
regimento interno
homens mulheres
ouco prazer
henrique cardoso
