Partido;Coalizao;Ano;flagCoalizao
PAN;Lula II 1;2007;0
PAN;Lula II 2;2007;0
PCB>PPS;Sarney 2;1989;0
PCB>PPS;Collor 1;1990;0
PCB>PPS;Collor 2;1990;0
PCB>PPS;Collor 2;1991;0
PCB>PPS;Collor 3;1991;0
PCB>PPS;Collor 3;1992;0
PCB>PPS;Collor 4;1992;0
PCB>PPS;Itamar 1;1993;0
PCB>PPS;Itamar 2;1993;0
PCB>PPS;Itamar 3;1994;0
PCB>PPS;FHC I 1;1995;0
PCB>PPS;FHC I 1;1996;0
PCB>PPS;FHC I 2;1996;0
PCB>PPS;FHC I 2;1997;0
PCB>PPS;FHC I 2;1998;0
PCB>PPS;FHC II 1;1999;0
PCB>PPS;FHC II 1;2000;0
PCB>PPS;FHC II 1;2001;0
PCB>PPS;FHC II 1;2002;0
PCB>PPS;FHC II 2;2002;0
PCB>PPS;Lula I 1;2003;1
PCB>PPS;Lula I 1;2004;1
PCB>PPS;Lula I 2;2004;1
PCB>PPS;Lula I 5;2005;0
PCB>PPS;Lula I 3;2005;0
PCB>PPS;Lula I 4;2005;0
PCB>PPS;Lula I 5;2006;0
PCB>PPS;Lula II 1;2007;0
PCB>PPS;Lula II 2;2007;0
PCB>PPS;Lula II 2;2008;0
PCB>PPS;Lula II 2;2009;0
PCB>PPS;Lula II 3;2009;0
PCB>PPS;Lula II 3;2010;0
PCB>PPS;Dilma 1;2011;0
PCB>PPS;Dilma 1;2012;0
PCB>PPS;Dilma 2;2012;0
PCB>PPS;Dilma 2;2013;0
PCB>PPS;Dilma 3;2013;0
PCB>PPS;Dilma 3;2014;0
PCB>PPS;Dilma II 1;2015;0
PCB>PPS;Dilma II 2;2015;0
PCdoB;Sarney 2;1989;0
PCdoB;Collor 1;1990;0
PCdoB;Collor 2;1990;0
PCdoB;Collor 2;1991;0
PCdoB;Collor 3;1991;0
PCdoB;Collor 3;1992;0
PCdoB;Collor 4;1992;0
PCdoB;Itamar 1;1993;0
PCdoB;Itamar 2;1993;0
PCdoB;Itamar 3;1994;0
PCdoB;FHC I 1;1995;0
PCdoB;FHC I 1;1996;0
PCdoB;FHC I 2;1996;0
PCdoB;FHC I 2;1997;0
PCdoB;FHC I 2;1998;0
PCdoB;FHC II 1;1999;0
PCdoB;FHC II 1;2000;0
PCdoB;FHC II 1;2001;0
PCdoB;FHC II 1;2002;0
PCdoB;FHC II 2;2002;0
PCdoB;Lula I 1;2003;1
PCdoB;Lula I 1;2004;1
PCdoB;Lula I 2;2004;1
PCdoB;Lula I 3;2005;1
PCdoB;Lula I 5;2005;1
PCdoB;Lula I 4;2005;1
PCdoB;Lula I 5;2006;1
PCdoB;Lula II 1;2007;1
PCdoB;Lula II 2;2007;1
PCdoB;Lula II 2;2008;1
PCdoB;Lula II 2;2009;1
PCdoB;Lula II 3;2009;1
PCdoB;Lula II 3;2010;1
PCdoB;Dilma 1;2011;1
PCdoB;Dilma 1;2012;1
PCdoB;Dilma 2;2012;1
PCdoB;Dilma 2;2013;1
PCdoB;Dilma 3;2013;1
PCdoB;Dilma 3;2014;1
PCdoB;Dilma II 2;2015;1
PCdoB;Dilma II 1;2015;1
PDC;Sarney 2;1989;0
PDC;Collor 2;1990;0
PDC;Collor 1;1990;0
PDC;Collor 2;1991;0
PDC;Collor 3;1991;0
PDC;Collor 3;1992;0
PDC;Collor 4;1992;0
PDC;Itamar 1;1993;0
PDS>PP;Sarney 2;1989;0
PDS>PP;Collor 2;1990;1
PDS>PP;Collor 1;1990;0
PDS>PP;Collor 2;1991;1
PDS>PP;Collor 3;1991;1
PDS>PP;Collor 3;1992;1
PDS>PP;Collor 4;1992;1
PDS>PP;Itamar 1;1993;0
PDS>PP;Itamar 2;1993;0
PDS>PP;Itamar 3;1994;0
PDS>PP;FHC I 1;1995;0
PDS>PP;FHC I 1;1996;0
PDS>PP;FHC I 2;1996;1
PDS>PP;FHC I 2;1997;1
PDS>PP;FHC I 2;1998;1
PDS>PP;FHC II 1;1999;1
PDS>PP;FHC II 1;2000;1
PDS>PP;FHC II 1;2001;1
PDS>PP;FHC II 1;2002;1
PDS>PP;FHC II 2;2002;1
PDS>PP;Lula I 1;2003;0
PDS>PP;Lula I 1;2004;0
PDS>PP;Lula I 2;2004;0
PDS>PP;Lula I 3;2005;0
