"ano,""discurso"",""PT"",""PSDB"""
"2001,""nilson mour recentemente mundial alimentacao apresentou fome elaborado instituto cidadania representante civil fiquei perplexo imprensa tratou profundamente chocado reacao elite efeito tema fome encontrar espaco agenda conservador afinal fome atinge revestese tragedia medias cerca familias vulneravel fome ganham dolar lembrou instituto cidadania okamoto dominio fome prefeitura organizacao naogovernamental igreja entidade civil preciso compromisso amplo garantir implantacao combate fome instituto cidadania defende especifica combate fome associada estrutural geracao emprego renda combate pobreza ibge mostrando continuamente cresce fome renda assalariado diminui doutra aumenta riqueza rico representam minoria esbanja luxo riqueza instituto cidadania construiu participativa envolvendo variado organizado realizando seminarios incorporando ideias oferecer concreta desejarem aplicala pratica conjunto fome subdividido tres formado emergencial especifica atender familias vulneravel fome tres instrumento principai distribuicao cupom alimento cesta basica carater emergencial criacao estoque alimentar seguranca cupom alimento vale distribuido familias pobr utilizado compra alimento supermercado loja previamente cadastrado cesta basica carater emergencial temporario destinada faminta atingida calamidade natural assentado reforma agraria estoque seguranca funcionam fornecedor alimento cesta emergencial protecao oscilacao preco alimento chamada efeito diminuicao vulnerabilidade familias aumento renda familiar universalizacao direito acesso alimentacao encontramse ampliacao alimentacao ampliacao reforma agraria priorizacao inicial familias rural insuficiencia expansao previdencia contributiva trabalham regime economia familiar urbana combate desnutricao maternoinfantil merenda escolar engloba acao geralmente parcerias civil atendimento carente desenvolvida iniciativa municipai seguranca alimentar restaurante popular oferecendo refeicao custo banco alimento iniciativa coleta doacao alimento entidade beneficente atendem carente atendimento morador rua parcerias supermercado incentivo agricultura urbana agricultura familiar producao autoconsumo ideias lancada fome contribuir serem enriquecida experiencias curso varias convencido contribuicao oferece aliada iniciativa parceria civil organizada havera encontrar vontade classe distinguir ideologias promotora mudanca espera"",1,0"
"2001,""coriolano sale salario minimo realmente enigma impossibilidade pagar equivalente dolar profundamente constrangedora certo mensal resolveriam melhorariam serviriam alento produziriam enorme modificacao estrutura encontra previdencia amarrada tolhem previdencia resolvido previdencia privada dificilmente conseguira elevar beneficio previdencia estatal contida faixa colabora expansao previdencia privada impoe bitributacao concordado tributar fundo edicao retorna tributacao deveria manter diferimento renda diferimento tributacao alternativa correta resolver previdencia minima estatal necessidade conter aumento salario minimo economias pagar equivalente dolar mensal extremamente constrangedora extraordinario detentor economias comentarios razao argentino cometeuse claro erro economica simulacro adotarse cambio paridade incidindo engano vinculacao moeda dolar visao solucao absolutamente errada monetarios acabou conduzindo argentina degradacao economica resultou renuncia rua salario minimo amplialo virtude previdencia preciso faca rapida reflexao aumento poupanca interna flexibilizacao tributarias imposta fundo pensao bitributacao praticada face dificilmente havera expansao necessaria fundo pensao notadamente privado setorial possibilitar formacao poupanca interna indispensavel promocao economico geracao emprego renda fator essencial definicao salario correta previdencia privada achase organizada auspicios criou entidade fechada especifica empregado determinada entidade acessivel subscreva custeie plano beneficios regime entidade fechada fundo pensao diferenciase regime aspecto fundamental visarem distribuicao lucro preverem contribuicao fonte participante empregadora regime capitalizacao achamse organizado fundo pensao vitalidade eficiencia comparativamente regime previdencia reparticao simple orcamentario participante totalmente garantidor beneficios periodo laborativo aposentarse massa estocada regime previdencia consiste custeio geracao beneficios concedido geracao antecessora face acumulacao poupanca fundo pensao atividadefim nitidamente possuem funcao economica relevante investidor sustentaculo mercado acao mercado imobiliario apto alavancar segmento economico oferecendolhe financiamento longo fundo pensao adquiriram maturidade conceitual institucional apto oferecer totalidade protecao efetiva incerteza futura gerando massa consumidor formacao mercado interno oficial previdencia sido capaz garantir protecao aposentadoria resultando inexoravelmente expulso mercado consumidor encerram periodo laborativo desenvolvido especialmente unido alemanha japao privado resolveu dilema regime fundo pensao instituido experiencia temse desenvolvido similar existente consiste conjugacao esforco empregado custeio plano beneficios oficial assistido regime cerca conquista estendida totalidade fizeram incorporese comunidade nacao socialmente responsavel fundo pensao constituem extraordinario instrumento valorizacao participarem custeio plano beneficios demonstram preocupacao reproducao forca protecao energias consumida produtivo manutencao mercado consumidor interno sido demonstrado possuem quadro pessoal jovem produtivo hesitam exercer direito aposentadoria constitui empregado patrocinadora hesitam requerela receoso perderem envelhece quadro pessoal bloqueia canal acesso funcional formacao fundo pensao figurado crescentemente reivindicacao trabalhista evidenciando tomada consciencia protecao previdenciaria si familia"",1,0"
"2001,""saulo pedrosa existe ditado popular considero crime perfeito ninguem capaz guardar segredo delito cai digo lembrando violacao eletronico deslize magalhao confessou membro crime quase submetido cassacao decoro ocorresse renunciar passou cidadao comum causou frisson especialmente bahia satisfacao pessoa useira vezeira cometer delito descoberta boca botija tristeza tentativa reacao recuperar imagem alguem cometeu meios comunicacao magalhao realizaram movimento bahia tentativa recuperar falsa imagem exsenador criticaram profundamente ensejou acao tribunal superior eleitoral passado tse acatando garcia vieira provimento acao impetrada bahia aplicou penalidade cabivel eleitoral ficando suspenso magalhao perdendo especialmente bahia justica prova tarda falha baiano respeitado magalhao colocou linha frente atacar louvamo atitude correta tribunal superior eleitoral penalizar maquina comunicacao atacar imagem personalidade bahia eleicao seguido ideias ataque inescrupuloso adversarios espero seguido"",1,0"
"2001,""lim eminente nilson mourao promulgacao constitucional imunidade vinha tramitando finalmente administracao graca amplo salientar imunidade concede inviolabilidade civil penal funcao opiniao crime comum julgado supremo tribunal promulgacao encerrouse periodo proclamacao constituicao republicana estabelecia crime comum cometido necessidade licenca supremo tribunal pudesse julgar gerou controversia entendiam dispositivo constitucional propiciava impunidade eleito diploma expedido sabera exercer impedira eventual funcao cometimento crime comum venho regozijarme ato promulgacao constitucional imunidade avanco fantastico pacote etico posto pratica passagem aniversario fundacao olinda norte amazona festejo comecam terminam inauguracao varias sebastiao maciel viceprefeito mohamad raad equipe novaolindense festa comemorar aniversario entregara serie trarao beneficios comunidade biblioteca escola computacao anfiteatro matadouro infraestrutura aproveito cumprimentar autoridade olinda norte festejo realizado comemorar aniversario fundacao representante procuro contribuir cresca desenvolvase perspectiva parabenizo ressalto acao prefeitura instante enfrentamo dificuldade sebastiao maciel realizado magnifica beneficio tendo sido reeleito exatamente sido continuar"",1,0"
"2001,""agnaldo muniz consumidor amargara aumento luz tres esforcase economizar energia justamente periodo chuva anuncia reajuste tarifa energia eletrica consumidor residencial segmento informa executivo aumento visa compensar prejuizo distribuidora racionamento energia imposto ora paga pede economize energia promove reajuste constante tarifa razao queda faturamento concessionarias distribuidora economiza gasta mecanica governamental foge logica senso equipe economica anunciou impacto previsto tarifa estupendo face dinheiro bolso alias sucessivo aumento preco tarifa taxa controlado energia combustivel ga agua vilao carestia afetando orcamento familiar reduzindo muda justificacao sobrepoemse reajuste parcelamse aumento pudesse embotar grau discernimento remuneracao sobrevivencia levar certo conforto seguranca inflacao ultrapassa encorpado elevacao preco tarifa monitorado administracao neoliberal pensar sofrimento refreando sofreguidao aumento corda pescoco cortar orcamento reduziu alimentacao vestuario lazer existe ferias pensar suprimir funcao intrinseca age interesse particular assistimo esquecimento maxima axioma assistimo coloca interesse instituicao privado frente desejo empobrecendoo passo abordar aprovaram passada originario executivo assegura aumento linear executivo judiciario fixou database mes direito revisao salarial anual modo regulamentou constituicao acolhendo formulado supremo tribunal reajuste oferecido aquem inflacao prevista ultrapassara aumento salarial penando mao banco financeira agiota arrocho salarios sustentacao arrocho juro alto receita neoliberal refrear consumo periodo descumpriu supremo tribunal executivo procedesse correcao vencimento funcionalismo ouvido mercador desrespeitando determinacao stf passado inflacao superando anuncia reajuste vergonhoso funcionarios acinte suprimir direito anuenios salarios executivo condenou periodo queda vertiginosa aquisitivo ala progressista lutou reajuste funcionalismo porem governista corpo mole desejava correcao remuneracao farsa campo trabalhou pretensao espero orcamento forca reverter quadro penuria financeira passam funcionarios concedendo aumento salarial possa merecer chamado crise transbrasil tradicional companhias aereas vemse prolongando causando prejuizo passageiro acostumado viajar aviao funcionarios receber salarios destino episodio transbrasil aponta completa reestruturacao companhias aviacao varig enfrenta sucessivo prejuizo anunciar demissao funcionarios junta companhias aereas empregam crise aponta necessidade aviacao comercial contemple mecanismo estimulem pratica administracao eficaz direcao companhias abertura mercado aviacao comercial feita cautela quebrar aereas orgulho privada patrimonio construido fibra determinacao empenho funcionarios completa liberacao ceus aviacao comercial estrangeira examinada criterio ressalva criacao agencia aviacao civil acodamento analise demandar comprometimento volta aviacao sergio amaral passada estuda elaboracao aviacao banco economico examina possam aplicada abre aspa socorrera causa perdida concordamo dinheiro destinar salvar banco privado dificuldade financeira dinheiro irresponsavelmente aplicado proer caldo entornado aviacao precaria financeira companhias aereas pareceno estranho soa oportunismo executivo pecou permitir crise aviacao comercial chegasse facil atento alegando bnde produzia estudo tema ora pensa ludibriar transbrasil arrastando estrutural afetam companhias deveriam discutida orgao tecnico elevado bacia alma livre concorrencia melhora prestacao barateia custo consumidor represente esfacelamento ruina aviacao comercial estudo mapa ativo combate sustentavel pobreza anunciado instituto economia fundacao getulio varga revela utilizado poderiam tese solucionar pobreza afirma investir equivalem produto interno bruto instituto economia fundacao getulio varga ocorreria dividisse miseravel existente dinheiro diretamente mao pobr receita concordamo alegacao tecnico fgv realmente preciso acabar intermediario clientelismo assistencialismo barato achamo sugestao dificilmente ouvida seguida risca citado estudo fundacao getulio varga bolsaescola destina $ estudante limite tres familia carente estudo mapa ativo demonstra crianca compoem contingente miseravel acesso saneamento basico agua potavel coleta lixo infancia perdida informacao despesa funcao ibge revelam pagamento juro divida interna externa atingiu gasto pagamo $ encargo divida representa gasto educacao chegou $ dispendio seguranca quatro despesa saude vocacao engodo heresia sugestao instituto economia fgv esbarra vontade executivo realmente mudanca espectro passa necessariamente reforma agraria efetiva serena justa valorizacao capital vivem us$ pobreza refluira perpetuam bloqueada fome ausencia saneamento habitacao decente fator alimentam chamado pobreza extrema porem dinheiro direto mao pobr indice inconteste demorara fio cidadania filho continuar pagando juro escorchante rolagem divida interna externa refletir finalizar anunciar apresentando determina proibicao importacao leite derivado suficiente suprir necessidade determina obrigatoriedade prestacao recemgraduado medicina instituicao carencia medico formado instituicao prestar minimo carente norte joel holder porto velho completou pastorado mencao aproximadamente capital rondonia holder frente igreja assembleia porto velho inclui fundacao colegios recuperacao jovem drogado prostituta viciado exdetento ressalto pude evento funcao junto ministerios mencao rondonia fundamental joel holder abencoe prospero"",1,0"
"2001,""osmar terra manifestar preocupacao crise vivida vizinho argentina significa democraticamente eleito ampla argentino sido renunciar funcao descontrole clamor gravissima democrata considerala procurar maneira colaborar consiga encontrar saida parametro democratico efetivamente faca jus luta sofrimento argentino merece frisar crise renuncia argentino extremamente grave repito devemse economica irreal poderia suportar acontecendo faltou sintonia economica argentina faltou igualmente sensibilidade dirigente argentino garantir economica adequada necessita exige preocupa entrar eleitoral apesar dificuldade conseguido diga manter tranq interna produzir diminuir desemprego instalada argentina crise internacional precedente gerada terrorismo conseguiu manter serenidade permitiu economia descontrolasse prova disso cotacao dolar caindo naturalmente nenhum artificio exportacao aumentando supersafra preco devido separacao ancora cambial consegue navegar tranq mar revolto vindouro formulador economica futuro governante lembremse argentina ora esquerda ora ora conservadora ora pretensamente revolucionarias levado inadimplencia caos entender mudou economica faca complexidade tamanho sintonia transformacao nele ocorrem alias rapidamente tranq separar economia ancora cambial dolar apesar dificuldade incentivar producao aumentar oferta emprego novamente indice desemprego aumenta noticiarios divulgam vira escandalo entretanto atual dificil conjuntura emprego aumentando exportacao consegue navegar agua relativamente calma preocuparse tema debrucado voltar roda conquista avancar particularmente tocante combate desigualdade porem caminham junta separa economia pesquisa ibge demonstra apesar desigualdade concentracao renda economia construida escravidao vivida seculo xix mudando diminui indice analfabetismo melhora saude educacao avanco levaram cambial diminui divida externa aumenta dolar comenta divida aumentou entretanto serve parametro divida indexada dolar diminuiu ultima definitivo definitivo aumenta devido desvalorizacao repito aprender crise argentina dificuldade crescente venezuela separada venezuela preco petroleo alto caiu entrou crise aprender garantir democracia acredito regime militar genocida argentina matou dezena milhar jovem voltara garantir democracia ditadura haver tranq economica aumento emprego garantia conquista avanco imaginaria baseada realidade voltada futuro bemestar"",1,0"
"2001,""geovan freita orgulho venho abordar comum morador brasilia querido goias cerrado sustentavel beleza natural brotam reserva cravada coracao possui reserva protegida amazonia conhecida pantanal mata atlantica caatinga cerrado biodiversidade peculiar areas cenario implantacao sustentavel cerrado formado tres fa homologada abrangia distrito atualmente agrega goias tocantim maranhao piaui expansao porem acentuou pecuaria exploracao agricola forte impacto ambiental fizeram cerrado sofresse perda riquissima diversidade biologica longo cerrado conjunto paiagem abundante fauna flora precisa preservado passada cerrado goiano protagonista solenidade entrou parque ema parque chapada veadeiro localizado sudoeste nordeste goiano respectivamente considerado patrimonios historico natural titulo concedido unesco solenidade realizada finlandia ocasiao goias capital proclamada patrimonio historico humanidade orgulho vizinho parque localizado mineiro chapadao ceu extremo sudoeste goiano parque ema possui hectar formacao diversificada cerrado doada fazendeiro filogonio garcia preservacao ambiental rica vegetacao existem animal veadoscampeiro tamaduabandeira loboguara ema ararascaninde tucano sucuri especies infelizmente perigo extincao caracteristica parque palmeira indaia tronco enterrado arvor casca grossa resistem perigo fogo parque chapada veadeiro criado luminosidade visto orbita terra devido quantidade cristal quartzo afloram solo inumero metal minerios nasa localizado antigo patrimonio geologico continente placa arai formada famosa energia mistica possui cachoeira trilha paiagem inesquecivel parque chapada veadeiro atrai inumero adepto ecoturismo reflexo turismo positivo estadual autoridade preocuparse regulamentacao visita significar perigo depredacao ambiental intensa rigorosa fiscalizacao preciso haver responsabilidade cerrado areas preservacao encontram geograficamente constituido cerrado parque chapada veadeiro parque ema patrimonio mundial humanidade faca divulgar orgao comunicacao atendido geovan freita"",1,0"
"2001,""mista orcamento reunida hmin manha orcamentaria ressalvado ressaltar orcamento sampaio doria critica porem divergencias refletir levando crise argentina orcamento uniao trabalha linha modelo adotado vizinho garantir superavit pagamento juro consta orcamento quartafeira pagar cerca juro repito juro divida travada esforco investimento efetivado chega percentual gasto pagamento juro divida visto anunciar diminuicao preco gasolina acontecendo devido pressao fizemo modificou cobranca combustivel possibilitara economizar pergunto utilizar sobra pretende lancar valega vale valeescola valealimentacao valega daqui lancar valeeleicao analisar postura cuidado salario minimo destinado valega poderiamo aumentar salario minimo salario decente manter si familia prefere assegurar aumentar salario minimo claro orcamento mista servirao instituir vale vale possibilita desvio acontecendo norte mina tres investigada inscreveram recebimento bolsaescola esposa genro filho foilhe dada possibilidade desviar facilidade educacao enfrentamo dificuldade distribuicao fundamental transferencia direta distribuir maneira prefere festa entregar cartao ficam fila recebem cartao publicidade anunciando distribuindo beneficios comodo fica parecendo concedendo beneficios pasmem distribuicao renato sai distribuindo cartao anda cartao bolso serra fazendo orcamento assegure digna possa receber salario possibilite disso motivo preocupacao serem despendido educacao pagar professor destinado educacao basica merenda livro didatico universidade orcamento preve aproximadamente quantia disponivel pagar pessoal manter educacional comparativo feita destinacao juro educacao atual enfrentasse fundo monetario internacional ativa defesa iriamo pagar divida negociariamo tentariamo abatimento pessoa endividada juro extremamente elevado pagar caixa economica tendo renegociar imovel mutuarios juro absurdo devido sido pago emprestimo uberlandia participar entrega zaire rezende unidade facil municipal metro quadrado construida quitada cidadao pagando mes porem existe contradicao rua frente construido entregue epoca collor mello conjunto habitacional embriao metro quadrado famoso habitacional expresidente apoiaram mutuarios conjunto pagam media prestacao pagaram pagar diminuissemo investimento quase metade poderiamo dobrar investimento educacao coser coser primeiramente cumprimentalo desempenho reuniao mista plano orcamento fiscalizacao encerrada manha brilhante agregar preocupacao temse destacado tema consecutivo introduzindo orcamento salario minimo inedito abriu mao deixando executivo tomasse iniciativa encaminhar aumento apresenta reajuste chegamo continuaremo orcamento lutando salario minimo sinal iria apresentar alternativa acreditavamo ato inteligencia enviaria salario infelizmente aconteceu aproveito lamentavel ocorrido esforco determinou encerramento orcamento uniao importantissimo determina destino arrecadado cidadao imposto tido necessaria profundidade alteracao precisam feita particularmente corte esperado lutar destinar verba universidade instituto pesquisa embrapa infelizmente cortado destinado hospital sarah kubitschek serie pet treinamento agregar decepcao deveria unido alternativa solucao financiamento pequeno agricultor aumento salario minimo correcao tabela imposto renda exatamente inverso ignora correcao tabela imposto renda permite franco aberto mista orcamento tenta forcar dificil continuar luta orcamento transparente coser realizado mista orcamento ajudou levantar receita possibilitando recebam investimento fundamental ressaltar abordado coser poderiamo utilizar atender visto fizeram corte haviamo proposto mista orcamento afeta areas educacao cultura desporto ciencia tecnologia comunicacao informatica turismo nenhum desenvolve investimento ciencia tecnologia apresentamo ciencia tecnologia atendendo reivindicacao cnpq progresso ciencia sbpc pesquisa infelizmente relatorgeral cortou metade fizemo conseguir admitir pesquisa cortado reverter garantir subtraido destinado varias universidade universidade fundamental centro pesquisa formacao massa critica geracao contribuam crescimento possibilidade continuar trabalhando mista orcamento garantir areas responsavel magno magno saudo ilustre incansavelmente participado orcamento uniao mista orcamento setorial relativo educacao demonstrativo tomara distante orcamento pautado relevancia garantindo direito disso devidamente executado esforco fizemo aprovada peca decorativa madrugada realidade destinado pagamento juro divida detrimento salario minimo essencial funcionamento atendido livrariam ameaca lamentavelmente realidade argentina ficar atento entender economica financeira resolvida sermo inteiramente dependente fundo monetario internacional argentina sucumbiu isento ameaca orcamento deveria garantir entanto prefere encher bolso fmi cumprimento espero continuemo avancando luta orcamento realista exeq privilegie aspecto magno aparte trabalhado arduamente mista orcamento continuaremo junto cumpra determinacao constitucional saude vincula infelizmente orcamento cortou concordar reducao verba areas desrespeito constituicao continuar lutando fizemo passada repor perda garantir hospital universitarios triangulo mineiro hospital universitarios hospital universidade uberlandia funcionam formar medico atendimento comunidade uberlandia triangulo mineiro goias concordar diminuido hospital universitarios continuar lutando assegurado destinado corte prazer concedo aparte virgilio guimarao virgilio guimarao sido duro hmin madrugada trabalhando mista orcamento saiba arduo compreendido lutamo defesa absolutamente voltado interesse nacao salario minimo si suficiente explicar firme atitude tomado destacado saude educacao direito orcamento voltado exclusivamente diretriz neoliberal absoluta fidelidade superavit primario ditame fmi pagamento divida taxa juro enfim pedra capital financeiro sido objetivo orcamento esclarecer nacao necessidade imposta orcamento motivo luta corrigir peca intervencao incorporo trabalha mista orcamento contribui luta assegurarmo devolucao pequeno produtor rural negociou produtor divida acima contemplou orcamento deixou divida abaixo pequeno produtor rural luta dificuldade produzir levanta madrugada sol chuva tira leite velho estilo munheca esquecido felizmente recuou editou atendendo parcela pequeno produtor rural assegurado orcamento continuem desenvolvendo condignamente atividade concluir continuaremo discutindo tema orcamento garantam salario minimo decente pesquisa areas saude educacao universidade precisam funcionar escola capacitacao reciclagem curso aceleracao aluno adolescente conforme demonstrado censo ibge apresentam dificuldade aprendizado realmente garantirlhe formacao enfim continuar fazendo mista orcamento perceber continuar distribuicao vale cartao deixando fila tirar foto intuito mostrar bonzinho benesse realidade receber esmola salario condizente realidade dignidade usufruir hospital escola direito lazer turismo orcamento lutar aperfeicoar madrugada"",1,0"
"2001,""magno ocupo consideracao brasilia centro interesse fiscalizacao financeira geraldo magela juntamente pedro celso alberto fraga quatro investiguei profundamente irregular encontra terra distrito terra pertencem uniao deveria atento caos infelizmente viver ameaca colapso tomada imediata especialmente refere ambiental urbanistica adiante aprofundarei dado brasilia patrimonio cultural humanidade jovem construida cumprir funcao sede horizonte fisico realidade apontamo dado mostra sitiada conseq omissao historica incompetencia administrativa inexiste habitacional assentamento dose responsabilidade evidente exageraram apresenta atual distrito sido omisso lamentavelmente terracap participado chamar industria grilagem pirataria grileiro ocupacao terra contam participacao advogado parafernalia consistente conseguem vencer judiciario executivo distrito atuando perversa patrimonio afeto alarme falso objetivo alertar distrito desastre acontecer brasiliem poderao implementar acao impedir desastre acreditamo atentado beleza arquitetonica cometido distrito construcao capital resolveram terra omitiram incompetencia constatamo atual distrito mistura pratica ilicita grilagem mina distrito abre mao agenda ocupar quatro dever resgatar primordial etico moral trato levando acreditar mudanca ocorrem existe enfrentamento resistencia luta corrupcao dando modesta contribuicao alguem chega capital encanta beleza agrada sobrevoando policia procurador guilherme schelb vimo realidade cidadao brasilia perceberam ausencia planejamento irresponsabilidade administrativa corrupcao cito traz quilometro palacio planalto constatamo amontoado lixo entulho floresta pinho observamo clareira passo ocupacao desordenada varias cerrado torno brasilia detectamo lixao crescimento populacional capital ausencia solucionar grave moradia distrito aparecer pressao moradia interessante constata classe sofrida brasiliense classe media pressionando quinhao morar evidente tomada firme agravara prejuizo irreparavel junto ermida dom bosco simbolo capital constatamo ocupacao desordenada terra feita grileiro contando omissao distrito disso areas ocorrendo devastacao vegetacao ciliar distrito situado bacia hidrografica possui nascente desaguam paranoa ocupacao desordenada chegando devastandoas sinal faltara agua equilibrar especialmente periodo seco lago paranoa inacreditavel porte capital resolvido lixo caro resolver lixo caro tecer critica infundada depreciativa mina habitante resolver lixo fizemo aterro sanitario modelo mina cem familias catavam lixo aterro alimentavam junto urubus crianca excursao receberem aula ambiente municipal reuniao secretarios aterro sanitario estrutural gravissimo poluicao chega corrego vicente pir devido lixao estrutural centena familias exige imediata providencias contaminacao lencol freatico nascente aterro sanitario estrutural alias precarissimo especie praca humano convivem urubus necessidade capital existem acabar basta utilizalo tracar plano agir priorizar aponta necessidade moradia brasilia padece devido historica incompetencia elite urge concreto distrito tracar plano diretor moradia tirar daquilo chamo cumplicidade possuir moradia aventureira apareca grileiro aceita alias percebemo industria condominios distrito resolver preciso planejar agir investir priorizar existem experiencias verdadeira funcao capital sediar central inviabilizada faltar agua consumo humano prejudicara funcionamento realidade representa mero alarde caesb aponta dado pontual estudo cientifico constatado visita audiencias realizamo podese optar imediatamente viabilizar tirar brasilia abismo propor esperar fiz esperar venha colocamo inteiramente disposicao colaborar feita apresentamo criacao cpi inicialmente qul focar atencao cpi praticamente trinta fila precisariamo paciencia esperar instalar cpi resolvesse gravissimo capital enfrenta cpi tornase viavel necessaria pfc limite quebrar sigilo bancario fiscal gente terracap envolvida ilicita tomar realmente efetiva areas penal criminal civel cpi chamamo atencao organizacao naogovernamental preciso reacao brasilia grave quadro conferencia ambientalista brasilia alertei preocupante enfrenta conceito dou realidade atual brasilia gravissima capital colaboracao dificel jovem pintaram rosto verde amarelo maneira pintar rosto barro preciso haver controle terra distrito ocupam terra providencias adianta esperar cpi aconteca jogo disputa miuda tomara havera disputa sucessoria sustentacao permitir realizacao cpi apurar abusivo pratica deixar acontecer pressao poderia constranger cumprir funcao instaurar cpi acabar atual quadro inoperancia corrupcao incompetencia administrativa prefiro aterme primeiramente providencias imediata enumerada farei existem forte solido indicios ocupacao terra solo distrito grave descontrole apontando consolidacao quadro deterioracao terminal ambiente levando provavel esgotamento manancial agua risco desabastecimento relativamente curto risco atual futura estabilidade executivo afetado capital abrigar seguranca orgao agua existem cerca conclusao ler conclusao acao emergencial imprescindivel brasilia capital patrimonio arquitetonico urbanistico humanidade perigo imediato inviabilizacao ambiental territorial conclusao avulta elemento trazido pfc reforcado inspecao visual aerea feita acabam tornar alcada distrito unidade federacao uniao precisa imediato estancar quadro reverter falando atinge status seguranca compreendida expressao amplo envolve seguranca cidadania capital interessando visitaram capital sequer farao motivo evidente urgente tomada registrada anal providencias enumeramo imprensa brasilia divulgou imprensa batendo tecla estaria grave entregar orgao distrito corregedoriageral uniao comecamo intensamente corregedora anadyr mendonca rodrigue passou tomar tomara tomara fique papel gdf precisa garantir urgentemente lixao localizado palacio planalto tribunal omisso orgao precisa devassa terracap cumprir verdadeira funcao investigar postergar cpi grilagem traz dado elementar judiciario tribunal orgao queira tomar providencias livrar caos ocorrer daqui dagua tomar emergencial verificamo show omissao joga costa deveria motivo indignacao existe corrupcao invasao terra tomada providencias novidade novidade tomada emergencial tornarsea inviavel concluo chamando atencao ambiente distrito goias orgao invasao desordenada linda provocara contaminacao agua serve distrito extrapola exclusiva capital aponta providencias capital cumpra funcao constitucional preciso autoridade saiam omissao executem acao concreta viabilizando funcionamento brasilia documento refere"",1,0"
"2002,""baltazar desejo manifestar tip visto exposicao argumento taxa ideias conhecamo volta redonda conheco profundidade argumento confuso tip instrumento apropriado cobrala taxa iluminacao cobrada aborda estrutural concordamo aprender otimo inimigo estruturado justica distribuicao arrecadado maneira eq justa ente federado necessarios imposto imposto cobrado iptu alias inadimplencia iptu alta evidente iluminacao relacionada diretamente seguranca estaremo instituindo imposto aprovarmo tip estaremo dando autonomia municipalista defendemo autonomia gerir custo poderao deverao propor aliquota incidente segmento cobranca existe feita maneira eq"",1,0"
